dataset,reported_as,tail_flip_rate,seed,method,tail_label,tail_label_name,train_tail_count,test_tail_count,train_tail_flipped_count,clean_suspicious_tail_count,clean_suspicious_tail_retained_rate,clean_suspicious_tail_recovery_rate,test_tail_recall,mean_tail_evidence,mean_tail_cdm,mean_tail_weight
cicids2017,CICIDS-2017,0.8,1,CoLD,10,10,22,1,16,1,0.0,0.0,0.0,0.25983657399716675,0.11571056901255478,0.7272727272727273
cicids2017,CICIDS-2017,0.8,1,ablation_hard,1,1,29,2,21,6,0.0,0.0,0.0,0.21365411582852614,0.22776455135731022,0.7931034482758621
cicids2017,CICIDS-2017,0.8,1,ablation_hard,5,5,78,6,68,4,0.0,0.0,0.16666666666666666,0.12258457566578901,0.0804012841415848,0.9487179487179487
cicids2017,CICIDS-2017,0.8,1,ablation_hard,6,6,81,7,66,4,0.0,0.0,0.0,0.13280923692952154,0.09029300284066835,0.9506172839506173
cicids2017,CICIDS-2017,0.8,1,ablation_hard,9,9,49,7,36,1,0.0,0.0,0.0,0.15977119420146776,0.07484029873245214,0.9795918367346939
cicids2017,CICIDS-2017,0.8,1,ablation_hard,10,10,22,1,16,1,0.0,0.0,0.0,0.25983657399716675,0.11571056901255478,0.9545454545454546
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-soft,1,1,29,2,21,6,1.0,1.0,0.0,0.21365411582852614,0.22776455135731022,0.8323818786331221
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-soft,5,5,78,6,68,4,1.0,1.0,0.16666666666666666,0.12258457566578901,0.0804012841415848,0.8684417976731064
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-soft,6,6,81,7,66,4,1.0,1.0,0.0,0.13280923692952154,0.09029300284066835,0.8595063513491813
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-soft,9,9,49,7,36,1,1.0,1.0,0.0,0.15977119420146776,0.07484029873245214,0.870007223902124
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-soft,10,10,22,1,16,1,1.0,1.0,0.0,0.25983657399716675,0.11571056901255478,0.8845126170076959
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-semisup,1,1,29,2,21,6,1.0,0.0,0.0,0.21365411582852614,0.22776455135731022,0.8323818786331221
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-semisup,5,5,78,6,68,4,1.0,0.0,0.16666666666666666,0.12258457566578901,0.0804012841415848,0.8684417976731064
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-semisup,6,6,81,7,66,4,1.0,0.0,0.0,0.13280923692952154,0.09029300284066835,0.8595063513491813
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-semisup,9,9,49,7,36,1,1.0,0.0,0.0,0.15977119420146776,0.07484029873245214,0.870007223902124
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-semisup,10,10,22,1,16,1,1.0,0.0,0.0,0.25983657399716675,0.11571056901255478,0.8845126170076959
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD,1,1,29,2,21,6,1.0,1.0,0.0,0.21365411582852614,0.22776455135731022,0.8323818786331221
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD,5,5,78,6,68,4,1.0,1.0,0.16666666666666666,0.12258457566578901,0.0804012841415848,0.8684417976731064
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD,6,6,81,7,66,4,1.0,1.0,0.0,0.13280923692952154,0.09029300284066835,0.8595063513491813
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD,9,9,49,7,36,1,1.0,1.0,0.0,0.15977119420146776,0.07484029873245214,0.870007223902124
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD,10,10,22,1,16,1,1.0,1.0,0.0,0.25983657399716675,0.11571056901255478,0.8845126170076959
cicids2017,CICIDS-2017,0.4,2,CoLD,1,1,29,2,13,5,0.0,0.0,0.0,0.403318515181559,0.2503003067181627,0.4482758620689655
cicids2017,CICIDS-2017,0.4,2,CoLD,5,5,78,6,26,2,0.0,0.0,0.16666666666666666,0.31817865961732156,0.1461269957940914,0.5256410256410257
cicids2017,CICIDS-2017,0.4,2,CoLD,6,6,81,7,36,5,0.0,0.0,0.14285714285714285,0.27839783277054797,0.16076663980861938,0.7283950617283951
cicids2017,CICIDS-2017,0.4,2,CoLD,9,9,49,7,17,1,0.0,0.0,0.0,0.33133369996115386,0.1257236614810601,0.3469387755102041
cicids2017,CICIDS-2017,0.4,2,CoLD,10,10,22,1,11,2,0.0,0.0,0.0,0.4482800354260317,0.19704663532089867,0.5
cicids2017,CICIDS-2017,0.4,2,ablation_hard,1,1,29,2,13,5,0.0,0.0,0.5,0.403318515181559,0.2503003067181627,0.8275862068965517
