dataset,reported_as,audit_scope,leakage_removed,exact_duplicate_train_rows_removed,near_duplicate_graph_edges_removed,noise_type,noise_rate,graph_beta,seed,method,macro_f1,fpr,fnr,err,err_tail,err_final,mean_weight,retained_fraction,retained_fraction_clean_informative,runtime_sec
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.6,0.6,0,Graph-CoLD,0.30676517226598277,0.28693060876968923,0.21022827818085293,0.9572719684323624,0.7996573255222714,0.878464646977317,0.6632623082359508,0.6685552407932012,0.9752650176678446,0.06514209997840226
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.6,0.6,0,CoLD,0.31870280574491006,0.27501064282673476,0.20775084055919307,0.9572719684323624,0.7996573255222714,0.878464646977317,0.6618271954674221,0.6618271954674221,0.9752650176678446,0.06945979996817186
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.6,0.6,0,ablation_hard,0.31312859070507076,0.27628778203490845,0.208989559370023,0.9572719684323624,0.7996573255222714,0.878464646977317,0.6685552407932012,0.6685552407932012,0.9752650176678446,0.08091439999407157
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,clean,0.0,none,1,Graph-CoLD,0.8828005719802597,0.01362281822051937,0.01256414793841798,1.0,1.0,1.0,0.9795443207463809,0.988999290276792,0.988999290276792,0.07423140003811568
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,clean,0.0,none,1,CoLD,0.758515496561392,0.01319710515112814,0.01946558131304194,1.0,1.0,1.0,0.9790631653655074,0.9790631653655074,0.9790631653655074,0.07174920005491003
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,clean,0.0,none,1,ablation_hard,0.8866449475879893,0.01447424435930183,0.012210228278180853,1.0,1.0,1.0,0.988999290276792,0.988999290276792,0.988999290276792,0.08210500003769994
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,symmetric,0.1,none,1,Graph-CoLD,0.863387033510802,0.018731375053214133,0.015395505220314989,0.9515142898319594,0.9195811688688479,0.9355477293504036,0.8894818970599562,0.897444996451384,0.9779527559055118,0.07631369994487613
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,symmetric,0.1,none,1,CoLD,0.8152607068677287,0.022137079608343976,0.01999646080339763,0.8128201772492691,0.6226692475225116,0.7177447123858904,0.8882185947480482,0.8882185947480482,0.9433070866141732,0.0657513000187464
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,symmetric,0.1,none,1,ablation_hard,0.86268345272242,0.022988505747126436,0.013271987258892231,0.9515142898319594,0.9195811688688479,0.9355477293504036,0.897444996451384,0.897444996451384,0.9779527559055118,0.06907209998462349
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,symmetric,0.2,none,1,Graph-CoLD,0.7889335990936247,0.023839931885908897,0.01645726420102637,0.959082273436093,0.9326899046102618,0.9458860890231774,0.8175397917638899,0.8243435060326473,0.9787234042553191,0.07461180002428591
