dataset,noise_type,noise_rate,graph_beta,graphcold_macro_f1,cold_macro_f1,hard_macro_f1,delta_macro_f1_vs_cold,delta_macro_f1_vs_hard,graphcold_err_final,cold_err_final,hard_err_final,delta_err_final_vs_cold,graphcold_fnr,cold_fnr,hard_fnr,delta_fnr_vs_cold,paired_scenarios_dataset,p_macro_f1_graphcold_vs_cold,p_macro_f1_graphcold_vs_hard,p_err_graphcold_vs_cold,p_fnr_graphcold_vs_cold,p2c_validity_note
CICIDS-2017,symmetric,0.2,none,0.9895291159218611,0.7071123576649798,0.9645642805683922,0.2824167582568813,0.02496483535346894,1.0,0.6471190577872205,0.8420735660994016,0.35288094221277955,0.0008588828537654,0.012314644401550168,0.0039831814577067,-0.011455761547784767,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
CICIDS-2017,symmetric,0.4,none,0.988617981579738,0.708219290483501,0.9632811598810395,0.28039869109623705,0.025336821698698553,1.0,0.6477076466742587,0.8424997859909856,0.35229235332574127,0.0009606320420163667,0.012215887836483,0.0042794511529080335,-0.011255255794466634,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
CICIDS-2017,symmetric,0.6,none,0.9858162090401511,0.7098009654114515,0.9620961623959173,0.27601524362869956,0.023720046644233772,1.0,0.6461209264287309,0.8420664439794233,0.35387907357126913,0.0011820861576214,0.011991441097694134,0.004060989660486834,-0.010809354940072735,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
UNSW-NB15,asymmetric,0.1,none,0.5859199004514445,0.6037972586974139,0.5875452154030527,-0.017877358245969366,-0.0016253149516082255,1.0,0.7560272816259576,0.8705917686996997,0.24397271837404244,7.360301477948536e-06,0.00011776482364716082,2.9441205911794144e-05,-0.00011040452216921228,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
UNSW-NB15,asymmetric,0.2,none,0.5880148930892953,0.5983907714564104,0.5856483178157049,-0.010375878367115066,0.00236657527359041,1.0,0.7504467413793954,0.866432377008915,0.24955325862060462,2.2080904433845612e-05,4.4161808867691223e-05,2.208090443384561e-05,-2.2080904433845612e-05,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
UNSW-NB15,asymmetric,0.4,none,0.5859981137800571,0.5911507533421065,0.5858403630509014,-0.005152639562049477,0.00015775072915569233,1.0,0.7311588233354923,0.8551890853185048,0.2688411766645077,7.360301477948536e-06,5.888241182356374e-05,7.360301477948536e-06,-5.15221103456152e-05,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
UNSW-NB15,asymmetric,0.6,none,0.5768879113599318,0.5474864354771687,0.5776701384870895,0.029401475882763095,-0.0007822271271576975,1.0,0.6762380991149689,0.8216753862565662,0.3237619008850311,0.00019136783842663334,0.00023552964729434852,0.0001913678384266304,-4.4161808867715184e-05,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
UNSW-NB15,clean,0.0,none,0.5821961156366625,0.6014170155805663,0.5846281015209885,-0.019220899943903746,-0.0024319858843260267,1.0,1.0,1.0,0.0,1.4720602955897072e-05,0.0,0.0,1.4720602955897072e-05,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
UNSW-NB15,graph_consistency,0.1,0.0,0.5844258068893716,0.6028561158693385,0.5824436515021342,-0.018430308979966892,0.0019821553872374498,1.0,0.7593766690539825,0.8725715138354309,0.2406233309460175,0.0,7.360301477948536e-06,1.4720602955897072e-05,-7.360301477948536e-06,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
UNSW-NB15,graph_consistency,0.1,0.6,0.5832300966798437,0.6028880691961006,0.5824182478913446,-0.019657972516256894,0.0008118487884991588,1.0,0.7559069919945639,0.8706170977556211,0.2440930080054361,1.4720602955897072e-05,4.4161808867691223e-05,1.4720602955897072e-05,-2.944120591179415e-05,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
