dataset,noise_type,noise_rate,graph_beta,graphcold_macro_f1,cold_macro_f1,hard_macro_f1,delta_macro_f1_vs_cold,delta_macro_f1_vs_hard,graphcold_err_final,hard_err_final,delta_err_final_vs_hard,graphcold_tail_recall,hard_tail_recall,delta_tail_recall_vs_hard,graphcold_fnr,hard_fnr,delta_fnr_vs_hard,p_macro_f1_graphcold_vs_cold_dataset,bootstrap_ci95_delta_vs_cold_low,bootstrap_ci95_delta_vs_cold_high,holm_p_macro_f1_vs_cold
CICIDS-2017,graph_consistency,0.1,0.6,0.6810701258796824,0.61984882562138,0.6757115994875723,0.061221300258302414,0.005358526392110097,0.959992845083235,0.959992845083235,0.0,0.5115511551155115,0.49174917491749176,0.019801980198019764,0.14246931067044377,0.14152502360717653,0.0009442870632672407,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
CICIDS-2017,graph_consistency,0.2,0.0,0.680488290450287,0.632455878806688,0.6935351711932807,0.04803241164359906,-0.01304688074299365,0.8724829089518146,0.8724829089518146,0.0,0.5577557755775578,0.5610561056105611,-0.0033003300330032292,0.08439565627950894,0.08722851746931064,-0.002832861189801694,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
CICIDS-2017,graph_consistency,0.2,0.6,0.5468865312308723,0.494468927579722,0.5541649343285057,0.05241760365115028,-0.00727840309763339,0.9924390232201238,0.9924390232201238,0.0,0.3135313531353135,0.3267326732673267,-0.013201320132013195,0.1886213408876298,0.18496222851746927,0.0036591123701605333,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
CICIDS-2017,graph_consistency,0.4,0.0,0.5496568767528637,0.5420110213908579,0.5401560913858124,0.007645855362005793,0.009500785367051234,0.8889182497573077,0.8889182497573077,0.0,0.4158415841584158,0.40924092409240925,0.0066006600660065695,0.09631728045325773,0.1008026440037771,-0.004485363550519372,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
CICIDS-2017,graph_consistency,0.4,0.6,0.35620382489586194,0.3495262648240171,0.3507697635704081,0.006677560071844835,0.005434061325453821,0.8724464170152894,0.8724464170152894,0.0,0.0759075907590759,0.07260726072607258,0.0033003300330033125,0.26015108593012276,0.25908876298394706,0.0010623229461756978,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
CICIDS-2017,graph_consistency,0.6,0.0,0.3690265943872079,0.36235918897947667,0.3652497217987583,0.006667405407731253,0.003776872588449609,0.7677499821957596,0.7677499821957596,0.0,0.28382838283828377,0.2574257425742574,0.02640264026402639,0.08593012275731816,0.0932483474976392,-0.007318224740321039,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
CICIDS-2017,graph_consistency,0.6,0.6,0.29856459408761676,0.29043200977944716,0.2992557266276084,0.0081325843081696,-0.0006911325399916457,0.9381534131250575,0.9381534131250575,0.0,0.0693069306930693,0.07920792079207921,-0.00990099009900991,0.28316808309726155,0.27738432483474973,0.005783758262511818,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
CICIDS-2017,symmetric,0.1,none,0.7705457918156892,0.6788506799358073,0.7696845065349486,0.09169511187988189,0.0008612852807405869,0.8959454617066139,0.8959454617066139,0.0,0.6402640264026402,0.6435643564356436,-0.0033003300330033403,0.11000944287063259,0.10776676109537298,0.0022426817752596168,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
CICIDS-2017,symmetric,0.2,none,0.680488290450287,0.632455878806688,0.6935351711932807,0.04803241164359906,-0.01304688074299365,0.8724829089518146,0.8724829089518146,0.0,0.5577557755775578,0.5610561056105611,-0.0033003300330032292,0.08439565627950894,0.08722851746931064,-0.002832861189801694,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
CICIDS-2017,symmetric,0.4,none,0.5496568767528637,0.5420110213908579,0.5401560913858124,0.007645855362005793,0.009500785367051234,0.8889182497573077,0.8889182497573077,0.0,0.4158415841584158,0.40924092409240925,0.0066006600660065695,0.09631728045325773,0.1008026440037771,-0.004485363550519372,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
CICIDS-2017,symmetric,0.6,none,0.3690265943872079,0.36235918897947667,0.3652497217987583,0.006667405407731253,0.003776872588449609,0.7677499821957596,0.7677499821957596,0.0,0.28382838283828377,0.2574257425742574,0.02640264026402639,0.08593012275731816,0.0932483474976392,-0.007318224740321039,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
UNSW-NB15,asymmetric,0.1,none,0.4762812224316011,0.4635587773754353,0.48089304112753295,0.012722445056165765,-0.0046118186959318574,0.5051498263290108,0.5051498263290108,0.0,0.4752593502593503,0.46849880183213516,0.0067605484272151295,0.046861555247452336,0.052305286356510695,-0.00544373110905836,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
UNSW-NB15,asymmetric,0.2,none,0.4115387812578419,0.40886626680279936,0.4298728413022875,0.0026725144550425184,-0.0183340600444456,0.4759977722839484,0.4759977722839484,0.0,0.3460581793915127,0.339312797646131,0.0067453817453816955,0.2711562415742968,0.25139222258346355,0.019764018990833243,0.02064545391715493,0.0008952029091465891,0.005629425975106121,0.04129090783430986
